Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
TCIRG1	EIF3F	SGTB	SYNGR1	ATP6V0E1	UPK3BL	ATP6V0B	CCRL1
KLRC2	ITPR1	LOC727896	TOP1MT	PCMT1	PCSK1	LGALS2	IPO11-LRRC70
RAB8B	PXK	XAF1	NDUFV1	SPINT1	C1QBP	AMICA1	MID1
NELL2	BEND5	TFDP2	AP2S1	ATP6V0C	NUPR1	TKT	ITGB1
EZR	LRMP	LOC100505876	TUBB3	ZNF841	TMED4	RGS19	SEMA3A
CDKN1B	AIM2	SCAI	ACBD6	TTC8	ARL4D	CD302	CDC42EP2
SARDH	GGA2	FLJ31662	SEPHS2	C8orf40	CSAG1	SNX10	TNFRSF1A
C9orf142	HLA-E	IBA57	AK2	RAB17	NUCB2	GAA	PEA15
TMC6	VAV3-AS1	LOC284950	SNRNP25	HIST2H2AA3	HSPA7	CD93	CLEC1A
DGKA	JMJD1C	CSTF3-AS1	DAP3	HIST2H2AA4	GNAS	CD300LF	CPE
PIK3IP1	TSPAN13	ALG1	FBXO7	CNIH4	MRPS24	FES	MEG3
SFXN1	TAGAP	LOC728558	GAS2L3	ERC1	GNG11	PSME2	SH2D3C
C5orf56	GNG7	ABHD11	GNL2	TMBIM4	C6orf48	GLA	CD93
SHISA5	MTRNR2L10	PEX13	POLR1D	SOD1	CPNE1	LPAR6	ACTA2
UBE2L6	LIMD2	C1orf210	GCNT2	C2	AP3S1	EPSTI1	REXO2
LEPROTL1	LBH	NUDT19	FBL	HSP90AB1	PLIN3	ATF3	JUP
PGAM1	CTSH	RAB2B	MYO10	DHCR24	GBP2	FTH1	HEG1
CSK	HHEX	FLJ30403	MRPL13	PLP2	EIF2S2	TM6SF1	RPS6KA2
TAGAP	KIAA0125	FRMD6-AS1	PSMD14	FKBP2	FAM3C	FAM49B	COL14A1
FAS	DENND3	PPM1K	STRADB	CTHRC1	HMG20B	CMKLR1	CD36
RASSF1	MIR650	FUT2	PSMB7	GANAB	PMP22	PPIF	SPTBN1
ACSL5	RABEP2	TMEM41B	IDH1	MBP	WISP3	IER2	TEK
ITGB2-AS1	NCF4	CHRM3	TRAPPC2L	LINC00116	STT3A	CARD16	CD9
C17orf49	STAG3	LPIN3	ZWINT	MTRNR2L6	ARFRP1	ISG15	CXorf36
ELF1	EIF4B	CCDC125	KDELR3	PCDHGC3	ZNF259	BNIP3L	SLC40A1
GFOD1	MTRNR2L6	TADA3	PSMC4	MTRNR2L3	PPIB	SEMA4A	EBF1
PPP1R2	RAB30	P2RX5-TAX1BP3	MSANTD3	DIP2C	MRPS30	ARPC5	LEPROT
CDK2AP2	CTSS	KDM4A-AS1	GLRX3	SDCBP	PPIC	PRAM1	CD99
CYFIP2	IL4R	UTP23	CNN3	FKBP10	AHCY	RAB8A	GUK1
PIM1	COL4A3	KDELC2	IARS2	MAFF	COL11A2	FLVCR2	ARHGAP29
C12orf75	6-Sep	DCUN1D2	GYG2	COA3	RPN2	ABCA1	ZFYVE21
ARPC5L	NAP1L1	EXOSC6	ESD	PMM1	PCOLCE	CYFIP1	PI16
KLRD1	ATP2A3	MIR143HG	MRPL21	DTYMK	C17orf49	WARS	ICAM2
PTPLAD2	HDAC9	PPID	YTHDF2	SLC39A14	ERGIC3	LY96	FERMT2
MYO7A	HMHA1	C10orf32	GNL3	SQSTM1	NOP16	SECTM1	TP53I3
RAB27A	SKIL	HAUS3	DPCD	SKP1	NOL3	CD36	C7
HLA-B	KBTBD8	CPT1A	COA6	AGRN	RIN2	SDS	IL15RA
CLIC3	ARHGEF18	CHP1	GGCT	LRP10	LAS1L	CD300E	LTBP2
IL16	TNRC6B	KREMEN1	FHL2	PDIA3	EDEM2	OSM	GPRC5B
MCL1	PPP3CA	HTATSF1P2	GALNT18	ARHGAP18	ELOF1	NFKBIZ	ANXA7
P2RY10	SH3BP5	METTL2A	USMG5	SYPL1	SDC4	IFIT3	TJP1
HLA-C	P2RY10	LOC100289341	ETHE1	BLOC1S1	CSTF3	PTGS1	MAP1B
LITAF	ZNF318	KIAA1324	MAD1L1	KRT10	PIGT	MXD1	TSPAN15
RAP1B	PRDM2	INIP	SEMA6A	CYB5R3	FAM162A	ACP2	WISP2
PCSK7	MAP3K1	TOR1AIP2	ATOX1	ACTN1	P4HA2	EBI3	PDGFRA
UNC13D	SNX29P2	ZNF785	IFI6	ATF3	FAM46A	PGD	CLIP3
IFITM2	PTPRC	LOC100506688	LSS	LAPTM4A	STMN3	PTPRE	F8
UBC	NBPF10	GSTM3	EIF4A3	HLA-F	ENO1	PLD3	IL7
TMC8	PLD4	FAM74A1	ANKRD39	PIGF	NRG1	TCN2	PLA2G4C
TESPA1	ARHGAP25	LILRB3	SLC19A1	LDOC1	BIVM	ENG	TUBB
YARS	EIF3E	GSTTP2	UBAP2L	TMEM14B	FCRLA	FAM49A	TMEM173
ORMDL3	P2RY8	LOC100128398	IER3IP1	AHCYL2	MRPL54	TLR8	LEPRE1
DOCK2	PFDN5	TRIM16L	FOXRED2	FADS3	ELOVL2	HLA-DQB2	SHC1
ADORA2A	STK17A	FXN	PRSS21	HIST2H4A	C4orf52	AKR1A1	MGLL
ARHGEF6	RBM6	ADAT1	NDUFS8	HIST2H4B	PLK2	ATP6AP1	ADAMTSL1
RASGRP1	TP53INP1	ZNF321P	WIPI1	FLNA	EIF6	OSCAR	LRRC70
PIM2	HNRNPH1	CNNM3	PKLR	PIGP	DANCR	HERPUD1	MGST1
BCL11B	DGKD	NANOG	EIF3K	DAD1	MRPL14	HCLS1	GINM1
CNOT6L	KHDRBS2	MCTS1	FAM212A	SDF2	MUC5B	SCO2	PLXND1
EVI2A	PLEKHA2	SBF2-AS1	BIRC5	FDFT1	GPC4	IDH1	ALPL
C17orf62	LYN	ZFP14	LIMA1	PLOD3	SNX1	HNMT	DSP
CD200R1	MYO7B	LINC00547	GPR137B	CPQ	GPR108	IFI6	RNH1
SYT11	PKIG	ZYG11A	NUTF2	STOM	AKR1B1	MAP3K8	PMP22
ANKRD44	FNBP4	CRYBB2P1	LAMTOR2	CLU	LMAN2	MYO1F	NUCB1
CSF1	TFEB	MANEAL	CTNNB1	TP53TG3C	DDX1	HLA-DQA2	RNASE4
AKAP13	NCR3	ICA1L	NOP56	OSTM1	STRA6	H2AFY	MYO1C
ARPC4	EML4	KCNE4	EPRS	ATP6V0A1	DNAJB9	RNF149	FAM65A
TMEM155	MOB3B	CLCC1	TMEM206	POLR2F	GAP43	MX1	ECE1
WDR1	TPD52	LOC100128682	GRHPR	TMEM208	BAGE4	ZNF385A	IGF1
CELF2	SP140L	TBC1D24	NDUFAB1	BIN3	BSG	APOE	TUBB4B
SP140	GRAPL	SRRM2-AS1	PPP2R1A	FBXO7	SLC5A3	IRF7	PLSCR1
NAB1	IL16	C4orf19	GPR56	ETV5	EPB41L4A-AS1	NAAA	ADAMTS9
ARF6	PPAPDC1B	PAR-SN	SDF2L1	FMO5	ARRDC3	AP2S1	CTSH
XCL1	ABLIM1	FLJ43681	PTPLA	LTBP3	C11orf49	GSTO1	VCL
TPST2	ATF7IP	RBM43	S100B	CNDP2	HKDC1	RNF135	JAG1
IL21R	CD47	IL17RD	MCM3	IER3	CCNG1	PLTP	NID2
LAX1	MPEG1	DNAJC27-AS1	BOLA3	EPDR1	SH2D4A	ARHGAP18	C1orf54
HMHA1	FBL	MCFD2	C3orf14	TOB1	TBC1D8	TNFAIP8L2	COL15A1
ASXL2	HNRNPA1	ZFP42	UROD	LMF1	SSBP1	OSTF1	ZNF385D
LOC100271836	RASGRP3	KIN	BCCIP	MICALL2	PSMB6	CARD9	NGFRAP1
CAPZA1	FOSB	SLC35E1	RPL39L	TMEM59	COPS6	CTSA	GLT8D2
CREM	HIP1R	LINC00439	NAPRT1	CSAG3	WDR83OS	BST2	PRKCDBP
UBB	B4GALT1	NXNL2	HSPA4	SERPINE1	TVP23B	H3F3A	ZYX
MYL12A	SPINT2	PCDH11X	CDCA7	LOC401397	SLC12A2	THBS1	WWTR1
PREX1	PNISR	HAUS2	UBE2C	CRIP2	ING4	ADPGK	PLSCR3
LOC541471	TAF1D	CLEC7A	MT1A	DNAJA4	NDUFB7	BLVRA	MGST2
F2R	TLE3	C2orf91	HDLBP	NEU1	RP9P	UBE2L6	TENC1
GATA3	MTRNR2L3	SPIB	GOT2	GSTT1	CTGF	SLC8A1	HSPB6
SUN2	EEF1D	HYDIN2	PPM1H	PYURF	TIMP1	ATP6V1F	KDR
ARL6IP5	YPEL5	GLTP	ALKBH7	PIGY	HNMT	TCIRG1	S100A10
UBE2V1	ISG20	APOL4	GAPDHS	IGSF3	PMPCB	SYK	PTGES
FCRL6	COL19A1	PGPEP1	RDH11	MTRNR2L10	EBPL	C3	PEAR1
NCKAP1L	EVI2B	GGT6	TIMM13	ST3GAL6-AS1	XPOT	HIF1A	CAPNS1
SERPINB9	CHD7	PLEKHA5	ANXA5	UBE3B	SSBP2	SQRDL	TUBA1B
IRF9	STRBP	GJC1	RCC1	COX7A2	AGMO	TUBA1B	PPIB
TRERF1	BACH2	PTPRG-AS1	LSM4	ITFG3	SUSD5	SKAP2	ADD3
PNRC2	PTMA	FLJ39739	NOP16	SLC22A4	SEC23B	RNF13	DOCK6
RHOH	C6orf48	LINC00514	PTGDS	DLGAP1-AS1	WDR91	IL18	NREP
TSEN54	CLECL1	GTF2H3	TOMM22	DGCR6L	ERLEC1	IL10RB	DCHS1
PAG1	HSH2D	LINC00663	UQCRC1	ATP6AP2	CHSY1	FOS	APLNR
ATXN1	DCK	LINC00311	SNRPD2	SGCD	SNED1	ANXA1	FAM171A1
PLEKHF1	GRB2	ZNF264	WDR12	AFAP1L2	PJA1	DUSP1	RALB
IKZF1	LCN10	KCNA7	ATIC	SLC7A5	NRCAM	SH3BGRL	CYBRD1
ACTB	LOC100506178	DFFB	TUBA1A	DDAH2	LOX	SLC29A3	TNFRSF6B
LOC100130476	LOC100505549	TMEM213	MAZ	ST3GAL6	SUCLA2	CAPZA2	FLNB
TNFRSF18	KLF2	LOC100506241	KIRREL	LOC541471	NCOA7	TPI1	FAM198B
CCDC64	DNAJB14	GGPS1	TEX30	PPP1R9A	GLT25D1	NFAM1	SULF1
C19orf66	C9orf72	LOC91948	PSMB5	ABHD4	DNPH1	LTA4H	CST3
CCDC141	ZNF165	ZSCAN2	SNRNP40	SLC38A2	RTFDC1	LSP1	WFS1
CLK1	ATP2B1	CLEC4GP1	MCM4	SERTAD1	SRPRB	MOB1A	HSPB8
PDCD4	KIAA1033	OGFOD1	RPL22L1	EZH1	PYROXD2	CNPY3	EMP1
SP4	SNHG8	PTGIS	USP48	TEKT4P2	GAPDH	BTG2	FKBP9
FKBP5	TLR9	LOC284260	PRPF31	COL16A1	SUCLG2	TALDO1	MPZL1
MYL6	MGAT5	TRAF3IP2-AS1	ATP5A1	ARHGAP31	PEG10	CCR2	BMP1
RAPGEF6	NT5E	SWSAP1	CNRIP1	AVPI1	MED16	IL10RA	SVIL
ZBTB38	KLHL14	EXPH5	PMVK	DYNLL1	TPP2	IFI44	DLC1
CXCR4	KIAA1551	CYP51A1	SIRT2	MITF	SHMT1	GRINA	AOC3
ARL6IP1	NPM1	CARD8	VPS72	ETV4	C21orf59	PLA2G15	SYNPO
OPTN	ABCB4	LOC729603	HAX1	SPRY4	C19orf24	FCGR2C	FABP5
ABHD3	ADK	LOC145820	PARL	CCND1	TFF2	GLT25D1	RRAS
NFATC2	KMO	FAM115C	PLEKHF2	ZKSCAN1	IGBP1	BCKDK	SAR1A
DGKH	DUSP1	CCDC122	PRMT5	GSTZ1	ICAM1	KCTD12	CD63
ZC3HAV1	SPIB	ZSCAN29	ANKRD54	RPS27L	PTRHD1	TNFSF10	CSF2RB
PPP1R16B	SIPA1L3	BCL2L15	HSD17B10	MKRN9P	TPI1	SMIM3	MAGED4
TOX2	CNN2	DESI1	LSM10	NQO2	PRRT3-AS1	SLC40A1	MXRA5
APOBEC3H	RPSAP58	TRPV1	IVNS1ABP	LOC100127888	HPGD	ABI3	SLC35G2
SAMD9L	PARP14	FBXL20	DUSP3	LIF	CCT8	AXL	LIMCH1
SURF4	SNORD47	FUT1	RUFY3	WIPI1	NAA20	PRKCD	CAV1
CCND3	DNAJC10	ZNF814	RUVBL1	ROPN1B	FAM32A	TNFRSF1B	CTSK
RPS6KA1	SYVN1	SNTN	ATP5D	SSX2	ZC3HC1	NCKAP1L	ASPN
MBNL1	MDM4	NUP43	TROVE2	C17orf89	ETFA	GRB2	WBP5
PIK3CD	PLEKHG1	EXD1	THOC5	CD44	IER2	LRP1	IGF2
RAB1B	SNORD10	GGT8P	CDCA4	ATP9A	ATP1B1	SOCS3	PHLDB2
ARHGAP4	PIK3IP1	SLC31A1	PHB2	TMEM230	ROMO1	DPYSL2	RRAGA
RILPL2	STX7	LOC440300	SLC25A13	DSCR8	IFNGR2	SIRPA	KIAA1199
GRAP2	SIK1	NF2	DNAJA3	PTPRR	YIPF2	TWF2	FLNC
VOPP1	SPPL2B	SIX4	MRPS34	ZNF706	ZDHHC20	GPR183	ADAMTS1
SAMD9	GGNBP2	EMX2OS	LGALS3BP	FNTB	EIF3G	RHBDF2	PGRMC1
LOC100132247	TRAF3IP3	COA1	PSMD4	DNAJB6	PHLDA1	MERTK	TGFBR3
FAM49B	LOC283070	SGOL1	MSTO1	DDIT4	TMEM256	PLEKHO2	PRRX1
HLA-E	NFATC1	HOOK3	PYGL	PRR4	LOC100499405	ZEB2	SOCS2
NFATC3	SNHG5	CAMK1D	SNHG8	PAGE5	FDX1L	FCGR2B	RBMS3
RGS3	SKAP2	ANP32A-IT1	CLN6	MRPL40	MALSU1	S100A4	CD200
ESYT1	SIDT1	NRIP3	SS18L1	CALU	NDUFS7	FUCA1	AMOTL2
CIB1	CNTRL	GK5	PI4KB	TSPAN31	PON2	C19orf59	DAPK3
TMEM173	TREML2	BPNT1	MRPL9	SOX10	DDR1	NR4A3	UNC5B
BTN3A3	SYTL1	FOXK1	SLIRP	TPD52L1	UFM1	DRAM1	GRN
GBP1	IL6	NCMAP	LRRC42	MAGEA6	WBSCR22	GSN	DYSF
SMG1P1	MYC	PACS2	EMC2	HMGN3	PIGU	DNASE2	PGM5
NRBP1	FXYD5	BRIP1	DKC1	LOC100505865	CEBPD	PLEKHO1	PGAM1
S100PBP	PIK3C2B	RHBDL2	SDHB	AGPAT1	CSAG3	P2RX4	OLFM1
DDX6	FLOT2	AXL	TUBB	ZNHIT3	HEY1	CYTH4	NME2
LOC440354	CRIP3	STAU2-AS1	TFPT	JAM3	EIF3B	NMI	AKR1C1
ROCK1	C12orf42	ZNF69	TRIM2	TMEM109	FAM20A	PSMB10	TRIOBP
HK1	SSH2	LOC100506990	PTP4A1	MED15	NMD3	TNF	GPR182
AIP	TNFRSF13C	HSD17B13	CDC20	FCGR2A	CCDC124	GPNMB	LPAR1
DGKZ	MIR600HG	CWC25	NDUFA8	ZBTB20	MCOLN1	GGTA1P	KDELR2
RRN3P2	HIST1H4C	LOC100335030	TSNAX	SRPX	PTK7	CXCL12	OSMR
OCIAD2	ZCCHC11	CTSC	QDPR	ITGB8	MRPL45	RPS6KA1	GNA14
ECH1	FAM26F	NUGGC	SEC31A	CTNNA1	CHL1	NCF1C	GNG12
NLRP1	NEIL1	KBTBD12	PRMT1	EGR3	PJA2	APOBEC3A	DPYSL3
KCNK5	ITSN2	TUBA3FP	POLR2D	HPS5	TRAPPC5	CASP4	GFPT2
PPM1M	TBC1D9	SLC4A8	SMIM4	VPS25	LONP1	TIMP1	DYNLT1
TBC1D4	RABEP1	GPLD1	MTX2	SUMF1	WWTR1	GLIPR1	2-Sep
B2M	TSPYL1	ATXN3	JOSD2	ST7	ACP6	GNS	H19
MYL12B	FAM117B	GUSBP3	CERS4	LOC100506451	KCNN4	BLOC1S1	RBPMS
REC8	ACTB	PIGW	ZBTB8OS	GDI1	GNL3	1-Mar	PPP3CA
SUB1	NBPF14	SULT2A1	MRPL15	PHF17	TXNDC17	ODF3B	THBS3
ACTR2	GPSM3	SLC14A2	LGALS3	VGLL4	TOP1	DOK2	RRBP1
SYTL1	LOC100507463	ZSCAN22	PKMYT1	SF3B5	HK2	RIN2	NDST1
STK10	NUAK2	ABCA9	MAD2L1	PHLDA3	ITM2C	GM2A	KLF10
CASP8	PRICKLE1	CLUAP1	SLC1A4	G6PD	BST2	TMEM37	SGCE
APBB1IP	BTF3	MPL	APEX1	CAT	LINC00623	AGTRAP	NEXN
MAP2K3	TIFA	ZNF526	HADHA	CAPG	COL6A1	CCL3L3	MYZAP
TRAFD1	CDK14	DENND6A	B4GALT3	CD47	PDIA5	AREG	PDLIM3
PRR5L	AP1B1	CEP104	RBM42	FUCA2	SNX10	IFI44L	MGMT
PPP2R2B	CPNE5	SLC36A2	SSU72	ACSL1	IDH3B	RGL1	MRFAP1
LOC374443	TRA2A	TIGD1	DCAF13	CXXC5	RNASE1	COTL1	CISD1
KLRG1	SCARNA9	ADAMTS4	NDUFA3	DCXR	MKI67IP	HSPA6	PALLD
MCOLN2	OR52N4	RPLP0P2	UHRF1	SIRPA	MAGEA10	HEXB	RBP5
HMGN4	DMXL1	C1orf229	OSTC	CSNK1D	TIMM8B	GPX4	AKAP12
HSPA8	MTRNR2L4	SPATA5	KIF17	ST13	MLEC	BACH1	KLHL4
EHD1	SMARCB1	HOGA1	DUSP23	LOC100507577	GGH	ITM2B	MSC
LY6E	SETX	ACADSB	POLR2I	ABHD12	ESD	GPR35	EPHB4
KLRC1	KIAA0430	LRRC2	CCT4	CELSR2	MMADHC	GALC	FNDC3B
NCOR1	MZB1	DSCR6	IFI16	YWHAQ	GADD45A	GBGT1	ARID5B
SPN	FMNL3	TRIP13	CHCHD3	GSTT2	B9D1	RASGEF1B	DLGAP4
MAPRE2	FAM65A	TTC39C	IGSF11	DUSP23	BAGE	PRELID1	HMGN3
ANXA11	ERAP2	SPRED1	PPIF	TENC1	INTS10	CXCL1	PRDX1
RBCK1	NOTCH2NL	TRMT2B	ACOT9	P2RX4	TBC1D4	RIN3	TGFB3
TMPO	UTRN	DNAL1	CDKN3	LOC155060	TRIB3	FCGR3B	FBLN5
HLA-G	CEPT1	CCBE1	CBR1	CD46	NPEPL1	REEP4	TPPP3
7-Sep	PIM2	EPGN	AIMP2	KLF4	C5orf58	PLD4	FDPS
TMEM2	CD1D	TRIM58	LOC100133445	NDUFB9	NHP2	NR1H3	SOD2
CORO7	FAM46C	ZNF714	MLST8	SH3D21	TPST1	AP1B1	ARHGAP1
TNIP3	DENND4A	LOC100130581	ALG8	ZNF32	HSPH1	EMR2	RAP1B
CYTH4	EIF1AY	LOC284551	SF3B4	TEX2	RPL21	CXorf21	S100A13
LRBA	ID3	RFC2	RAC3	LMNA	IFT52	ARAP1	ANXA5
GIMAP1	SASH3	RNF207	CDC45	ARF3	B3GNTL1	MKNK1	CCDC102B
APMAP	LRRC16A	PRRG4	CLCN7	PPP4R2	TBL2	SLC15A3	ACVRL1
GBP4	PCDH9	FBXL18	GART	NDUFB4	DTD1	TLR5	RCN1
RNF167	LCN8	ANKS4B	DPP3	PLA2G16	POLR2H	LTBR	RHOB
ACTR3	MTSS1	ZNF554	STRAP	BACE2	TPD52L2	NRP1	BCAR1
KLF12	PCMTD1	TADA2B	BCAT2	SEMA3C	ZMYND8	FUOM	MEGF6
SF3B1	SNHG12	GNG4	MPZL1	4-Sep	PCDHB2	SLC43A3	CDH13
TSPAN14	UVRAG	RHD	PHF5A	UBC	USP11	MCOLN1	CLEC3B
PTPN11	ANAPC16	TMEM120B	ACOT2	PLP1	PSPH	HN1	RBFOX2
ADCY7	PDCD4	SLC25A34	WDR61	CMC2	CHID1	STAT1	STAB2
ST8SIA4	ATM	FCF1	CHCHD1	TMX2	HSPD1	RNASE2	BCAM
IL27RA	RP9	MAVS	DECR1	TJP1	PRR4	CD72	PSMB5
ZFP36	SESN3	PCDH11Y	DLL3	SHROOM2	PSMC3	RAP2B	TAGLN2
SEMA4A	SETBP1	AP4B1-AS1	APEH	CITED2	GADD45B	RGS10	IL6ST
CD2BP2	IQSEC1	INHBA-AS1	CCNB1IP1	COX17	COL6A2	CORO1B	FAP
ADAM8	SLC38A11	LOC400891	ZFP106	USP6NL	MRPS22	RNASEK	C8orf4
ATP2B4	LINC00494	ZNF805	POLE3	MLPH	NFATC2	ALOX5AP	KLHL3
UBA7	KIAA0040	MRP63	UCHL5	NEDD8	LST1	NAIP	CD151
GPR68	SNX22	GREB1	FADS1	SLC16A4	XIST	RCBTB2	SORBS3
KLRB1	SIGLEC10	PPARD	COPA	NEK9	VPS11	MX2	TMCO3
NCALD	CAMK1D	LOC100188947	C10orf11	GYG2	COPS5	STX11	MYLK
SLAMF1	TSPAN3	TBCCD1	MMS19	SLC44A3	FRG1B	SMPDL3A	DAD1
ELMO1	ICOSLG	ZNF665	CS	KCTD10	LGALSL	DSC2	MRC1
OXNAD1	MAST3	UBE2Q2P3	RRS1	BBS2	GRIA2	UPP1	10-Sep
ZBTB1	HNRPDL	CBFA2T2	SLC39A6	RGS20	ICA1	CSTB	GUCY1A3
PDE4D	SRSF6	GPR155	LSM7	SLC16A3	SYS1	NAPA	CRABP2
INPP5D	EIF4A2	RBBP5	NDUFS7	RDH11	ALAS1	GLB1	SLC38A2
OSBPL3	CBFA2T3	AK3	NME1	SLC22A18	ANXA1	BRE-AS1	HEBP1
RBPJ	RFX5	C5orf55	UCK1	FLJ39051	PTS	DBNL	P4HA3
PLCB2	TMEM156	ZNF114	TIMM23	ALCAM	UXT	TMEM51	PARVA
UBE2D3	MBNL1	GPR1	C19orf70	TOB2	DCBLD2	TSPO	GPC3
IRF2	B2M	ZNF486	HIST1H2BK	BFSP1	MAGEA2B	GMFG	ZNF22
PPP6R1	TMC8	METTL8	NUBP2	APLP2	PCDHB6	SPPL2A	RTN4
PLCG1	PAN3	METTL2B	EIF3L	B3GAT3	MYO7A	ADM	ST6GALNAC4
ARID4B	LHPP	DMBX1	FXYD5	CTTNBP2	GGT7	TTYH3	MYC
LNPEP	EPB41L4A-AS1	TRMT10B	SLC25A39	APOL1	STOML2	HSPA7	SPOCK1
MLLT3	CAMK2D	PGM2L1	NMRAL1	PTPRM	ZDHHC4	FAM96A	FILIP1
APOBEC3D	ICAM3	LOC643623	EMP3	KLHL21	EPS8L2	SERPINB1	CCBP2
CHI3L2	CYTH1	MAP3K13	CDK1	HEXB	TOMM34	ARPC3	TNFAIP2
PARP10	EHD3	B3GNT6	GPR89A	HIST1H2BK	BABAM1	SHKBP1	YWHAE
IQGAP1	ZMAT1	ZNF716	CYB5R1	LMF2	ATP2B1	LOC338758	NINL
CARD16	KDM4C	DTD2	GINS2	KCNK15	PLP2	DSE	CAPN2
LOC100506776	OFD1	C5orf64	POLR3G	PIGS	TIMM44	IL1R2	DOCK1
TP53INP1	STAT6	ME2	GTF2F2	PSMB3	SERPINB6	GPX3	SMTN
STK17A	SMCHD1	LOC100506394	GDE1	CYTH3	GRPEL1	DENND3	KDELR1
PMF1	NT5C3	MYLK3	C20orf27	EPHX2	EEF1E1	CSF2RB	MFAP5
SPTAN1	LPAR5	TMEM17	TRAPPC6A	HIST1H1C	PTRF	SLC2A3	EGR1
BIN1	OAZ1	TARS2	GAB2	PTTG1IP	FBXO22-AS1	FAM157B	STON2
SLX1B	CCSER1	C3orf72	GRWD1	HPCAL1	ERCC5	ARHGEF10L	HIF1A
SLX1A	CD82	FAM227A	GJC3	POLR2L	MRPS33	HEXA	CYB5A
FUT8	HIST1H1D	TMEM41A	PSMC1	ZCRB1	OXCT1	OAZ2	RASSF9
NSFP1	TNFRSF10A	AKAP5	CORO1B	STX7	POTEF	RAB5C	EGLN2
PCED1B-AS1	MYCBP2	EEF2K	PPP5C	AP2B1	TXNDC5	ATP6V0C	WBP1L
CCSER2	E2F5	BAIAP2-AS1	FKBP4	PLEKHM1P	MAGEA2	PSMB3	VCAM1
RFFL	PARVG	LOC339803	SEC11A	HTATIP2	PXDN	SDCBP	KIAA1462
FAM107B	MOB3A	BCKDHB	DPH2	EMC3	DDX41	DYNLT1	RARRES1
SH2D3C	RBM38	SIGLEC10	CCDC28B	DCAKD	IGFBP2	ATF5	TMEM109
GLIPR2	SEC62	PTGES3L	RGS10	NME3	SERINC3	MTHFD2	MVP
SLFN11	ORAI2	VPS53	SQLE	PEBP1	CFI	CHST15	CSF1
ANKRD32	C17orf62	PPP1R3B	SSNA1	ZMYND8	GLRX	APOL3	CSDA
MACF1	SLC6A16	CCDC30	C14orf2	CCPG1	UCHL3	CLEC4E	AP2M1
FNBP1	BMP2K	CMBL	ADIPOR1	NDUFA1	LRTM2	SLC25A37	SLIT3
NINJ2	GLIPR1	SLC6A4	COMT	FLJ27354	PRPF6	ATP1B3	MAPK3
CASP3	DPEP2	MTPAP	GLRX2	FKBP1A	DNAJC21	OLFML2B	UCHL1
SRSF7	ERP29	KIF3A	DNAJC9	IFT43	MRPS35	PPP1R15A	LRRC16A
FABP5	ARGLU1	GNL3L	RRP1	ATP5I	FAM216A	HCST	RHOA
VAMP1	PCF11	PARD6B	GNPDA1	HEXIM1	LINC00493	INSIG1	GPR176
IKBKE	LOC100130298	RASGRP4	HIGD1A	ASRGL1	C7orf25	PRDX1	YWHAH
SCAMP2	ADRBK2	GTF2E1	PEMT	MTRNR2L7	C12orf10	GNG5	RAC1
ABCD2	DOCK8	ERVV-1	GPI	MTRNR2L1	SRPX	ALDH3B1	CTNND1
CHIC2	AREG	LOC440173	NAA10	DUSP14	EIF4EBP1	NECAP2	CPXM2
CD244	BIN1	PRELID2	OSBPL1A	VMP1	TMTC4	ID2	GNG10
ACTN4	MGEA5	LOC100268168	TSEN15	TCP1	TKT	GBP2	GPR124
ZFP36L2	SERPINB9	TUFT1	WDR34	ITPK1	DNALI1	HSD17B11	AKAP2
ETNK1	TMED8	TSIX	GALNT2	CD164	WDR83	GNG10	PDLIM2
CCDC88C	FTL	SNAP29	CHD1L	SFT2D1	GUSB	NCF1B	NFIC
TTC24	RASGEF1B	C19orf40	FLAD1	C11orf31	PPME1	RNH1	PALM
CDC14A	ACAP1	LEMD1-AS1	C22orf28	MYO1E	CEP72	KCNMA1	GADD45B
PIK3R5	SDK2	CDH23	BOP1	COX6A1	LOC401074	DECR1	PGF
KCNA3	SNHG3	LOC100652772	MPST	PIGT	TMEM126A	RTN3	EGLN3
FAM46C	MDS2	HPSE	ASF1B	SLC25A4	PIN4	MCTP1	CAV2
C9orf16	FLI1	LINC00672	CRYL1	ERBB2	EXOC4	LPCAT2	RSU1
6-Sep	CSK	APOBEC3D	NCL	RAB40B	HSP90B1	MSRB1	FOXP1
LOC100190986	DDX5	CDKN2B-AS1	RNASEH2A	STAT3	MVB12A	PRR13	GUCY1B3
NLRC3	NBPF16	PSPH	MRPL4	EMC4	CDK2AP2	RILPL2	ZFP36
FAM179A	MBNL3	ZNF329	BANCR	NMRK1	SLMO2	CA2	VAMP3
CNOT1	TRAF5	ZNF835	SPATC1L	ITGB1	UBXN8	COX7B	RALGAPA2
PTK2B	LILRB1	UTS2D	ZEB2	ZFAND5	SRI	LHFPL2	SPON1
FLNA	LOC374443	PER2	EXOSC7	STXBP1	RSL24D1	CCL8	EDF1
ITPKB	TTC21A	TMEM130	POLR3C	MRAS	C21orf33	MMP19	CARHSP1
PARK7	NIPSNAP3B	HCAR1	CCT2	ZNF207	MGST2	CCL3L1	CTTNBP2NL
TACC3	HLA-B	C2orf83	PPP1R7	EIF3C	RASD1	FKBP15	UGP2
ATRX	SPDYE5	ZNF527	IGSF3	MT1X	UBL5	CSRNP1	CHST15
CD74	NAPSA	JAM2	TKT	CLIP1	DDIT4	AKR1B1	OPTN
