Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
EVI2B	FCRL2	LOC100505812	PRAME	MAEL	DNAJC3	CREG1	CYB5R3
PARP8	CD55	LOC100289019	GPATCH4	LINC00673	HID1	SPI1	THBS2
AKNA	POU2F2	EMP2	PAX3	ARF5	SERGEF	OAS1	TM4SF18
ISG15	RPL36	MXRA7	HEBP1	C9orf16	GADD45GIP1	ASAH1	TMEM176B
HNRPLL	INPP5D	TVP23C	CDK4	ADIPOR2	CDH2	C11orf75	PDGFRB
LASP1	AFF3	XIAP	FAM174B	OARD1	USE1	CLEC12A	CCL19
IKZF3	RPS24	C7orf55	SNCA	TMEM30A	TMEM205	NLRP3	MATN2
GNG2	SYNGR2	LYRM7	CCT3	MAGEA3	C19orf10	ANKRD22	MYL12B
ST6GALNAC6	ZBTB16	CCDC144B	CEP170	CNP	SPTSSB	PPT1	DKK3
ETS1	RAC2	GNRHR2	SMS	ST6GALNAC2	NDUFA7	DOK3	RAI14
GIMAP2	CYBASC3	VHL	QARS	ENDOD1	ABHD2	MRC1	LAMB2
CNN2	BTLA	C3orf33	CUEDC2	GSTM1	ACOT8	PLSCR1	PVRL2
MIAT	ZCCHC7	METTL21A	CTPS1	PKM	ADCY2	VMO1	PROX1
SAMD3	RNASET2	TMEM136	POLD2	TMEM258	CACNA2D4	PLIN2	PDLIM7
PPP2R5C	CD48	ADRA1A	SIGMAR1	CNPY2	SLC1A3	BLVRB	NID1
ARHGEF3	TRIM22	RUNDC1	MRPL41	ITGB3	SEC61G	RBM47	NFIA
IGFLR1	KIAA0922	CC2D2A	ESRP1	ISCU	HILPDA	LITAF	ELK3
SH3KBP1	RPL36A	LOC100506305	AFG3L2	SLC7A8	PCOLCE2	GPR84	EFEMP2
HSPA1B	TNFAIP8	SHOX	SAE1	TSPAN7	NME1	VAMP5	CLEC4G
BUB3	CD1C	PCBD2	PITHD1	CAV2	CEACAM1	C1orf54	DSTN
PSME1	PTPN6	TRAPPC2	STARD10	P4HA2	TIPARP	IFIT2	SEPW1
C16orf54	DRAM2	LOC729987	FSTL1	TMEM106C	COL3A1	CMTM6	OLFML3
ASB2	MTRNR2L2	IVD	QPRT	TMEM219	AKAP12	HCAR3	TP53I11
STAT4	BCAS4	LOC100130954	ST6GALNAC3	PAEP	CDK2AP1	RGS2	SCARA3
GALM	PIK3AP1	NFKBIB	OXA1L	LOC729013	NREP	TLR1	MYADM
TRAF1	RPL6	PNMA2	PTRH2	MFI2	CTDSPL	CDKN1A	CLIC2
STAT1	S1PR1	LINC00338	NOA1	AP1S2	TMX4	PFKFB3	MYL6
PPP1CA	RPL15	CCL22	MRPL44	PACSIN2	CTNNBL1	NPL	COL5A1
SPATA13	AKAP2	TATDN3	SLC7A5	TMX4	FHL1	GPR34	PDGFRL
FERMT3	PTK2B	ELMOD1	APH1A	NAV2	MAP1B	LILRA1	ALDH2
GNLY	DAPP1	LOC100128338	ALDH18A1	ST3GAL4	PRNP	MAN2B1	RAB13
SEMA4D	GPR18	S1PR2	CCND1	JUN	ASPH	ATP6V1B2	COX7A1
CRTAM	TNFRSF13B	WDR55	SLC13A3	CSAG1	NET1	HLA-DRB6	FGF7
ARHGAP15	LOC100506710	FAM122C	TRAP1	WEE1	GAMT	CTSD	PECAM1
ITGB7	C17orf76-AS1	AGMAT	CIRH1A	IMMP2L	HM13	SLC2A5	ESAM
RBL2	PION	SLC9A4	AVPI1	MAGED2	MIR17HG	SIGLEC14	NFKBIA
CALM3	POLD4	PDLIM5	PLAT	SDC4	TRIM9	GNA15	GJA4
PARVG	UCP2	LOC100507173	TUFM	RNF157	SPARCL1	CTSL1	FLT4
ARAP2	EIF2S3	CHST6	MRPS15	MFAP2	COPE	GABARAP	ZNF521
STK17B	RPL24	LOC100287792	PQBP1	SERPINI1	B3GNT7	LILRB3	FSCN1
DOCK8	TLR10	DMC1	C1orf151-NBL1	SHC1	CLIC4	ZYX	MDK
TRAF5	ZFAS1	MREG	TPCN2	SORT1	EGFLAM	ATP6V0D1	COL12A1
MYO1F	SLC44A2	PHACTR4	SLC3A2	THBD	CAPS	STAB1	C10orf10
EOMES	SP100	SEC14L4	HIST3H2A	CITED1	RNF145	CTSC	LMNA
RABGAP1L	RPL21P28	RNF125	YIF1B	SEPW1	NME1-NME2	CD83	RGS3
PFN1	FAM177B	ZNF669	HADHB	CDKN1A	C9orf89	GCA	ROBO4
CLIC1	SEL1L3	ZNF713	OSBPL9	STRIP2	HMBS	PLAU	GAS6
ARHGAP25	MTRNR2L8	APOL1	NTHL1	INPP5F	IFRD1	C19orf38	COL18A1
OGT	NACA	PAXBP1-AS1	C1QBP	CYSTM1	BANCR	CCL2	SMOC2
BTN3A1	IFT57	GATAD1	GCSH	CTSO	GABRA2	GLRX	SERPINF1
KLRC4-KLRK1	RPL22	RASAL2-AS1	TMEM55A	LOC340357	C19orf53	HCAR2	PTGDS
PIP4K2A	SESN1	MARVELD3	C1orf43	OSBPL5	SPRY4	MYD88	LTBP4
TRIM22	EBF1	VSTM4	COA4	NFE2L1	CDC25B	NCF1	CRIM1
XCL2	GAPT	UTP11L	PMPCA	GLCE	MT1M	P2RY13	MARCKS
HMGB2	SMAP2	SLC5A5	TMEM165	HIST1H2AC	CSRP1	ZFP36	LXN
HLA-A	RPS26	GCLM	TXLNA	MIF	GLT8D2	P2RY6	MAP1LC3A
RHOF	MALAT1	LARS2-AS1	UQCRC2	SLC3A2	CD9	LAIR1	NUPR1
JAKMIP1	PDE4B	SNIP1	FARSB	CCND3	CHN1	SYNGR2	LAYN
ZBED2	RPL37A	PTCSC3	LAMTOR1	SEMA3B	IL8	CCRL2	CXCL2
AOAH	MIR4461	CHRNB1	TMEM246	HEXA	RIN1	SLC16A3	RCN3
RNF166	SNHG1	C4orf26	MRPS2	SOX13	TNFRSF21	C10orf54	TSPAN18
ARPC2	CHMP7	PPIL6	PSEN2	GLUL	TARS	IFITM3	LOXL2
DUSP4	SCIMP	EPHA10	RPP25	BHLHE41	MPLKIP	RIPK2	CSRP2
CD28	C16orf74	NMT2	SCAMP3	LOC100506714	MAGEA12	HBEGF	TGM2
RNF213	ARHGAP24	OPA3	POLR3K	SPCS1	DNAH9	RNF144B	HAPLN3
MAT2B	FCHSD2	ORC6	TUBA1B	BAIAP2	LOXL4	CSF2RA	HSD3B7
RAB37	UBA52	SMIM17	MAGED1	PDE4DIP	SNHG15	RGS18	NR2F2
FGD3	FCGR2B	UCKL1-AS1	QPCT	ABCB5	ZFAND2A	LILRA3	ITM2B
OAS2	RPL37	KCNJ5	SRP72	ARL2	UBE2H	NFKBIA	DAB2
HSPA1A	EAF2	SLC25A15	ACOT7	PSMB1	NELFCD	LGMN	MFAP2
ITGAE	SLC25A6	CEP41	SHMT2	PPT2	LOC441601	SPINT2	POSTN
WNK1	TMEM243	RABL5	MDH2	BCL2L13	LARP6	GK	SERPINE1
PAM	SRSF5	COX18	EIF3I	S100A16	DDIT3	IGFLR1	CD59
MIR155HG	CR1	LOC100506746	TMEM251	KIF6	IL1RAP	NAGA	ANGPTL2
CLEC2B	CYSLTR1	CYP1A2	MYO5A	C1orf85	LDHA	CLEC5A	PDE2A
NAP1L4	RPL27A	PARD6G	KDELR1	ATP6V0E2	STEAP1B	NADK	RABAC1
PRKCQ	NCOA3	LOC100130451	TRAPPC3	EGR2	LAMB1	GLIPR2	LMCD1
MYH9	ZFP36L1	FLJ42102	DRG1	TMEM14C	ENPP2	PAK1	TM4SF1
ARL4C	SNX29	HNF1A-AS1	ADSS	ANXA5	EFR3B	NCOA4	ETS2
DENND1C	CYBB	AFMID	PPAT	NDUFB2	MSANTD4	SGK1	CD81
ABI3	DOK3	ARGFX	NT5DC2	NDUFC1	SND1	FERMT3	LAMC1
KIR2DL4	ANKRD44	PPIEL	BIRC7	TAPBPL	ALG5	SCPEP1	MAGED4B
CKLF	PRKCB	IFNLR1	NOLC1	GBA	FKBP9	APLP2	ART4
SLC38A1	GRAP	IL6R	CCDC51	SVIP	ETV4	IL18BP	MEOX2
HLA-H	GLTSCR2	AQP6	GMNN	SNCA	FAM84B	ANPEP	MALL
HOPX	EIF3L	UGGT1	RUSC1	KCNN4	TRMT1	SLC43A2	LOX
TC2N	SYPL1	GLUD1P7	GLO1	RHBDD2	WDR18	UBE2D1	LAP3
ABRACL	MTRNR2L1	PABPC1P2	XPNPEP1	LAMB2	TMED1	BID	CTHRC1
IPCEF1	RGS19	LOC151475	TRPV2	CERCAM	PFDN4	HAMP	AFAP1L1
SYNE2	RASGRP2	CEACAM22P	TBC1D16	OR7A5	ATPAF2	MARCKS	CFB
SAMSN1	TSTD1	LOC389641	COPS8	CCDC47	SPARC	STXBP2	OLFML1
RFTN1	REL	LOC286186	EIF3D	TMBIM6	MRPS17	FGD2	SOCS3
LOC100130231	ZFP36L2	GFOD2	P2RX7	FAM3C	PPIL3	VCAN	DDAH1
CD84	JUNB	CD3EAP	DUSP12	LOC100130370	LSM7	NCF4	TPBG
SNX20	PNOC	GSDMA	UQCRH	FTH1	ITGB3	LYN	TGFBR2
CAPZB	CYTIP	PTCHD4	FAM195B	BCAP31	VCX	C9orf72	RBP1
RUNX3	ARHGAP17	WHAMM	KRTAP19-1	IGF1R	CMAS	C2	CLEC4M
PSD4	SLC38A1	ZNF587	MRPS21	FASN	DDX49	TPP1	IL3RA
LBR	EZR	LOC100505989	H1F0	DDB1	PLAUR	S100A12	FBLN1
CD99	CDCA7L	FAM73A	DDT	MMP14	ANKH	DPYD	A4GALT
RASAL3	MBD4	SLC50A1	UROS	BMPR1B	GTF2F1	IRF5	TNC
PRKACB	PLEKHF2	IL7R	CBR3	HDDC2	STX10	ARRB2	OLFML2B
BTN3A2	QRSL1	DPH3P1	MGST3	PRKAR1A	REXO2	SCIMP	TMEM176A
LIMD2	COBLL1	C9orf85	GAS5	ARC	VPS51	PLA2G7	IL1R1
